# Level density parameters for EGSM, Gilbert & Cameron (EMPIRE) and GSM (RIPL-2) models (2I4,1x,a2,f4.1,1x,F7.3,3E14.5,5f8.4,I4,1x,5(f8.3))
#  Z  A  Sym Io   Bn       Do            dDo           Esh          +da    a-EGSM    -da   a_sys   a-G&C   Nc     om2    DelO     aas     aerr   shift 
#                [MeV]    [keV]         [keV]         [MeV]        [1/MeV] [1/MeV] [1/MeV] [1/MeV] [1/MeV]       [MeV]   [MeV]  [1/MeV]  [1/MeV] [MeV] 
#-----------------------------------------------------------------------------------------------------------------------------------------------------
  50 121 Sn   .0  6.170    .12500E+01    .20000E+00    .49700E+00   .2290  8.3961   .1915  9.4320 15.5400  30    1.157   1.091  11.852    .417    .627   
  50 123 Sn   .0  5.946    .29600E+01    .15000E+00   -.59600E+00   .0628  7.4001   .0590  8.7410 15.3400  30    1.136   1.082  10.622   1.043   1.226   
  50 125 Sn   .0  5.733    .50000E+01    .10000E+01   -.21070E+01   .2517  6.7757   .1990  7.7030 15.1300  13    1.137   1.073   8.607    .555   1.129   
  51 122 Sb  2.5  6.807    .13000E-01    .20000E-02    .12610E+01   .2062  9.9519   .1743 10.0200 16.0100  25    1.136   1.086  12.433    .371    .922   
  51 124 Sb  3.5  6.468    .24000E-01    .30000E-02    .23400E+00   .1602  9.2159   .1396  9.4470 16.0400  10     .868   1.078  10.507    .270    .916   
  52 123 Te   .0  6.929    .14600E+00    .14000E-01    .16350E+01   .1400 10.3922   .1263 10.4280 17.1400  30     .584   1.082  10.085    .250    .777   
  52 124 Te   .5  9.424    .25100E-01    .28000E-02    .88900E+00   .1358  9.7721   .1202  9.9000 16.3100  30     .603   1.078  10.353    .302    .702   
  52 125 Te   .0  6.569    .22000E+00    .30000E-01    .77100E+00   .2073 10.2155   .1788  9.9440 17.2300  30     .635   1.073  11.049    .285    .837   
  52 126 Te   .5  9.113    .43000E-01    .30000E-02   -.16800E+00   .0812  9.3257   .0752  9.3070 15.8200  30     .666   1.069  10.108    .235    .778   
  52 127 Te   .0  6.287    .64000E+00    .17000E+00   -.48400E+00   .4120  8.9173   .3064  9.1240 16.2700  30     .705   1.065  10.081    .438    .887   
  52 129 Te   .0  6.082    .15100E+01    .37000E+00   -.21440E+01   .3409  7.8119   .2578  7.9610 14.8100  30     .792   1.057  10.981    .539   1.079   
  52 131 Te   .0  5.929    .15000E+01    .50000E+00   -.41840E+01   .4744  7.6301   .3216  6.4920 13.5300  30     .907   1.048  12.679   1.074    .857   
  53 128 I   2.5  6.826    .15000E-01    .20000E-02    .10900E+00   .1697  9.6023   .1466  9.6560 16.0600  30     .593   1.061  10.212    .356    .548   
  53 130 I   3.5  6.463    .20000E-01    .30000E-02   -.12770E+01   .1915  9.2146   .1622  8.7750 16.0300  13     .688   1.052  10.416    .209    .601   
  54 129 Xe   .0  6.908    .25000E+00    .10000E+00    .49700E+00   .6821  9.5962   .4340 10.0360 16.3300  11     .490   1.057   9.024    .595    .555   
  54 130 Xe   .5  9.256    .38000E-01    .50000E-02   -.37200E+00   .1554  9.2856   .1343  9.4560 15.8600  30     .536   1.052   9.849    .207    .424   
